index,ProductTitle,ProductsCategory,Brand,ProductDescription
51,Set Wet Studio X Body Wash For Men - Refresh(180 ml),Soaps & Body Wash,Set Wet Studio X,"Celebs are always ahead of the trend-setting curve with their dapper and suave looks, all thanks to expert styling. Its their X factor that separates the best from the rest! Set Wet Studio X, co-created with top celeb stylist Aalim Hakim is that X factor for your daily grooming routine. An expert grooming range for men who want to sport that celeb look everyday. Keep your style game effortlessly on point. Take the spotlight and be the trend. Welcome to tropical woes where the early morning post-shower freshness barely stays through the day. But hey, we've got you covered! Say hello to Studio X Refresh Body Wash For Men. It elevates your mood and makes you feel alive. Time to feel the celebrity vibe that lasts all day! Benefits : Co-created with top Celebrity Stylist Aalim Hakim to give you expert grooming - so that you can look and feel like a celeb everyday Set wet Studio X body wash for men- Refresh, unleashes a rush of cool aqua fragrance It consists of menthol which gives a mad burst of cooling to your body This men's body wash helps cleansing your body effectively It helps keep you refresh whole day long with a long lasting fragrance This body wash for men is effective even in the most humid conditions and is suitable for all skin types"
52,Engage Spray W3 Perfume - 120 ml(For Women),"Deos, Perfumes & Talc",Engage,Engage presents these perfume sprays for the modern woman who is confident and classy. The fragrances will leave you feeling fresh and smelling beautiful all day. Engage Women W3 Perfume Spray is a casual and breezy fragrance with sparkling fruity-floral scent with clean and crisp elements of apple and lime that evoke the spirit of the Sicilian summer.
53,Johnson's Skincare Wipes(80 Pieces),Diapers & Wipes,Johnson's,"Taking care of your baby’s hygiene is extremely important. Get these Johnson’s Baby Wipes to keep your little one’s skin and hydrated. Cloth wipe instead of paper These wipes are made of cloth and not paper, thus they are gentle on your child’s skin and ensure no damage is caused. Contains one of Mother Natures Moisturisers - Glyceryl Oleate - which nourishes, hydrates and protects As these wipes contain natural ingredients like glyceryl oleate which nourishes, hydrates and protects your little one’s skin thoroughly and keeps it clean too.  Hypoallergenic - soap free - alcohol free These wipes are hypoallergenic, thus reducing the risk of causing allergy. Furthermore, these wipes are soap and alcohol free ensuring no harm is caused to the baby’s skin. Wipes are extra soft with embossed SOFTWAVE fabric that help reduce friction To help reduce friction and increase chafing, these wipes are embossed with SOFTWAVE fabric which makes them extra soft and gentle on your skin. Enriched with moisturising lotion To keep your baby’s skin moistened and prevent dryness, these Johnson’s Baby Wipes are enriched with moisturising lotion."
54,Lakme 9 to 5 Primer  Matte Nail Color Blush,Kajal & Makeup,Lakme,"Give your nails an instant matte finish with the Lakme 9 to 5 Primer Plus Matte Nail Color Blush. This nail color provides a smooth texture which lasts throughout the week. Its vibrant and smooth finish make it ideal for work or parties. Matte Shades It gives your nails a chip-proof and smooth matte finish. Long-lasting Colour This primer plus matte nail color stays on for a long period, which helps avoid repeated coating."
55,Khadi Natural Basil Essential Oil(10 ml),"Creams, Lotions, Skin Care",Khadi Natural,"An effective oil massage that can soothe nervous disorders and stress is this Basil Essential Oil from Khadi. For all those men and women looking for a product that can also treat their muscular pain and arthritis along with providing a soothing effect this Khadi Basil Essential Oil could be an apt choice. Also, the rich formulation of basil relieves you from a severe headache and migraine. Intellectual fatigue is something that demotivates you to do your daily routine, and this natural Khadi Oil is sure to pamper you during those times. Even after a stressful day, you can take a shower using this Essential Oil and relax. If you are suffering from gout, this Basil Essential Oil is also an ideal solution. Women go through menstrual pain every month, a body massage using this Oil is sure to comfort them in the most unique way. Directions for Use Take an adequate amount of this oil and dilute it with your carrier oil. Gently massage on your body. Can also be diluted with bathing water."
56,"L'Oreal Paris Paris Kajal Magique(Supreme Black, 0.35 g)",Kajal & Makeup,Supreme Black,"If you do not believe in the power and drama of a dash of kajal, then try the L'Oreal Paris Kajal Magique. The intense, long-lasting shade with the goodness of nutrient-rich ingredients make this L’Oreal kajal a must-have makeup essential.  Intense Color The mineral pigments of this kajal deliver bold and long-lasting color with every single stroke. Rich Ingredients This L’Oreal kajal contains Cocoa Butter, Vitamin E, and Olive Oil Esters to soothe your eyes. Waterproof Kajal This waterproof and smudge-proof kajal lasts up to 12 hours."
57,Nescafe Classic Instant Coffee(100 g),Coffee,Nescafe,"With this Nescafe coffee powder, you can whip up delicious and refreshing cups of coffee so that you can kickstart your day in the right way. With a delicious taste and a refreshing aroma, the coffee made from this coffee powder will instantly put you in a better mood. Whether it’s day or night, simply follow the instructions mentioned at the back and enjoy slurp-worthy coffee instantly. Made with Roasted Coffee Beans One cup of Nescafe coffee will help you see the tasks at hand in a new light, which will make way for new opportunities. The carefully roasted beans elevate the flavour of coffee so that you're always on top of your game.  Frothy Instant Coffee The coffee lover in you will be pleased to see how frothy the coffee is once you stir in this Nescafe coffee powder. Flavourful and Pure Coffee Once you stir in this coffee powder, your home will be engulfed with the flavourful aroma of coffee. It brings about a pure coffee taste that will not disappoint the coffee lover in you. Comes in a Glass Jar This coffee powder comes in a specially designed glass jar so that the powder retains the ability to make delicious coffee until the jar is empty."
58,Indulekha Bhringa Hair Oil(100 ml),Hair Care,Indulekha,"Hair and scalp conditions can be caused due to stress, pollution, infections and much more. With the Indulekha Bhringa Hair Oil, you can keep your hair healthy and nourished. You can apply it directly to your scalp as it comes with a selfie bottle. The ingredients are infused to make an ayurvedic concoction that promotes healthy hair growth. Ayurvedic Concoction The Swethakutaja leaves are dipped in coconut oil to bring out their medicinal quality. The base oil, along with the other ingredients, such as SvethakutajaIt, aloe vera, neem, amla, Bringharaj and virgin coconut oil, makes this oil beneficial for your hair. Anti-dandruff Property SvethakutajaIt gives this oil its anti-inflammatory, antimicrobial and anti-dandruff properties. It helps combat skin diseases, such as psoriasis, and dandruff. Aloe Vera With enzymes that repair dead skin cells on the scalp, this ingredient promotes hair growth, reduces dandruff and prevents itching. It also rejuvenates hair by giving it elasticity and prevent hair breakage. Neem Thanks to its anti-protozoal, antioxidant, anti-inflammatory and antibacterial properties, neem effectively cleanses the scalp and treats various skin conditions for a healthy hair growth. Bringharaj Bringharaj extracts are known to improve hair growth and color, giving you lustrous and healthy hair locks. Amla Being a rich source of vitamin C and antioxidants, amla prevents premature graying and gives strength to the hair follicles. Virgin Coconut Oil This ingredient is extracted by cold compression method. It is high in vitamins, antioxidants, minerals, fragrance and proteins."
59,Rexona Powder Dry Deodorant Roll-on - For Women(50 ml),"Deos, Perfumes & Talc",Rexona,"Engulfing you in an inviting aroma of delicate floral notes, this Powder Dry deodorant from Rexona will be a woman’s best friend for life. Talc-essence True to its name, this dermatologically tested deodorant will keep your underarms dry, and free of sweat and odour for as long as up to 48 hours. Easy to Apply The roll-on design will make it quick and easy for you to apply after shower."
60,AXE Signature Intense Body Body Spray - For Men(122 ml),"Deos, Perfumes & Talc",AXE,"The World's # 1 Male Deodorant Axe, presents Axe Signature' - a range of premium body perfumes with 0% gas. Designed by the world's leading perfumers, Axe Signature body perfumes are concentrated with 3X more perfume. These body perfumes are not only stronger, they also last longer, helping you make an unforgettable impression when it matters the most. Feel fresh and energetic all day long with Axe Signature Sport body perfume. A dynamic fusion of fruity fragrance notes against a woody base gives a super strong and long-lasting effect. The blend of citrus and woody notes creates a fragrance that is a perfect fit for the go-getter, who is always on the run. The dynamic aroma of this sporty, modern perfume ensures you stay cool and energised for up to 24 hours giving you long-lasting, all-day freshness.Complete your morning preparation with the unforgettable fragrance of Axe Signature Sport Body Perfume. Simply spray it directly on your skin, underarms, chest and neck. Add that extra twist to your style. Like you've got something different from the rest, helping you make an impression that lingers on. Don't fade away like the rest. Catch attention and arouse curiosity in the moments that count. Leave your signature with the Axe Signature range of body perfumes."
61,L'Oreal Paris Casting Creme Gloss Hair Color(Medium Brown 500),Hair Care,L'Oreal Paris,"Give your mane a trendy makeover with this Loreal Paris Casting Cream Gloss Hair Color. The Medium Brown - 500 shade of this hair color gives your hair a smooth natural looking shade. The formula of this hair color will not only cover all the greys but will also give you glossy tresses to flaunt. The hair color set includes a casting cream gloss cream colorant, a casting cream gloss nutri shine conditioner and a casting cream gloss developer. As this hair color does not contain ammonia, it is completely safe for your hair. Enriched with aloe vera and green tea, this Loreal Paris Casting Cream Gloss Hair Color nourishes your hair to make it soft and smooth. The formula gives your hair a shimmery look that is sure to grab attention. This hair color is ideal for women. Directions for Use Read the instructions and precautions provided carefully before using the hair color. Perform a skin allergy test, as per the instructions, to make sure that you are not allergic to the contents of this hair color. Use gloves while handling the cream. Rinse your hair thoroughly after the hair coloring process."
62,Nivea Extra Whitening Cell Repair SPF 15 Body Lotion(400 ml),"Creams, Lotions, Skin Care",Nivea,"Dermatologically tested as safe for use on the skin, and free of alcohol content, this NIVEA Extra Whitening Cell Repair Body Lotion knows exactly what your skin needs during humid, summer days. It intensely moisturises your skin without leaving a heavy film of grease on it. Evens Your Skin Tone Lightweight in texture, this non-greasy formula offers itself as the perfect summer body lotion. It absorbs readily into the skin and works to repair cells, to give you even-toned skin in just 14 days. SPF Protection Enriched with an SPF 15 formulation, this lotion protects your skin from damage brought on by exposure to sunlight. Smooths Skin Vitamin C extracts in this lotion repair damaged skin and tackle dullness so your skin looks visibly smooth and nourished."
63,Gala Dust Go Set Plastic Dustpan(Multicolor),Floor & Other Cleaners,Gala,Gala Dust Go Set Dustpan (Multicolor)
64,Biotique Bio Green Apple Daily Purifying Shampoo & Conditioner(200 ml),Hair Care,Biotique,"This refreshing formula is blended with pure green apple extract, sea algae and centella, to purify and nourish the scalp and hair with natural minerals and proteins. Special pH balanced formula is gentle enough to use every day. Leaves hair refreshed and full of natural body and shine."
65,Nivea Fresh Petal & Care Female Deodorizer Deodorant Spray - For Women(120 ml),"Deos, Perfumes & Talc",Nivea,"Get day long odour-control and confidence with the Nivea Fresh Petal & Care Deodorizer. Its unique deodorizing formula and refreshing jasmine scent give you day long odour control, with just one use. Its skin-friendly formula with Provitamin B5 gives you nourished and hydrated skin. Odour Protection Its unique deodorizing formula makes sure that a single use of this deodorant is enough to give day-long odour control. Long-lasting Freshness Its sensuous Jasmine scent makes you feel fresh throughout the day. Care For Your Underarms It contains Provitamin B5 which gives your skin the required nourishment and hydration."
66,Tropicana Pomegranate Delight Fruit Beverage  (1 L),Juices,Tropicana,Pomegranates are a rich source of nutrients. What if we told you that there is a delicious way to add this fruit to your diet? Take a glass and pour this refreshing drink from Tropicana.
67,Cadbury Celebrations Treasure Basket Combo(588 g),Chocolates & Sweets,Cadbury,Cadbury Celebrations Treasure Basket
68,Dove Pink Rosa Beauty Bathing Bar(Rs 29 Savings Pack)(3 x 100 g),Soaps & Body Wash,Dove,"We think that skin cleansing should be an act of beauty for your skin that leaves it feeling soft and cared for. And Dove Pink Rosa Beauty Bar also has a delicate blush of color that adds a touch of feminine sophistication to your bathroom. That�s combined with our � moisturizing cream to create a beauty bar that helps nourish your skin during cleansing. Dove Beauty Bars are specially formulated to deliver skin-natural nourishment, helping your skin to keep its natural moisture during cleansing. Dove Pink Rosa Beauty Bar contains our ultra-mild cleansers, which don�t strip skin of moisture like a regular soap bar can. It�s mild enough to be used on your face, body and hands � the perfect addition to your daily skin cleansing routine. Dove is the No.1 Brand recommended by dermatologists in India. For best results, lather up your Dove Beauty Bar and massage the smooth, creamy lather over your face and body before rinsing thoroughly. For soft, smooth hands, you can also enjoy regular hand-washing throughout the day with your Dove bar. Soap may dry out your hands, but the classic moisturizing formula of Dove bars will leave skin softer, smoother and more glowing. Buy Now!"
69,Johnson's All Day Long Baby Lotion(100 ml),Baby Bath & Skin Care,Johnson's,"When a baby is born, her skin is most delicate. That's why we perfected our formulas over 125 years so they are now more gentle to give her the best care. Johnson's baby lotion has been improved to slow down moisture loss by hydrating skin, locking in moisture and creating a protective barrier to keep moisture in and dryness out. This clinically proven long lasting formula continuously protects babys skin for up to 24 hours, keeping it feeling healthy and baby soft."
70,Flipkart Supermart Select Brown Chana(1 kg),Dals & Pulses,Flipkart Supermart Select,"Grams are high in minerals, fibers and proteins. They also provide key vitamins and minerals to your diet. Its pure goodness helps in regulating blood pressure and cholesterol, while also assisting with weight management and diabetes. Flipkart Supermart Grams have a natural and delicious taste with great quality. Sourced from the finest traditional farms, our professionals handpick the Select produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures an enhanced shelf life while also preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family."
71,"Maybelline New York Baby Lips Lip Balm Pink Lolita(Pack of: 1, 4 g)","Creams, Lotions, Skin Care",Maybelline,"Be the lover that sings sweet songs to a loved one, love the lips that speak sweet words more so you are always happy and spreading smiles around. The Maybelline Baby Lips Pink Lolita is crafted with the sweetest pink note to give your lips the shade of sweet romance so your life never misses the spark you need to keep going on. Forget the damaged skin on your lips and leave behind those days of worry when you needed to run from any intimate situation because this Maybelline implement will keep your lips in complete tender care so you flaunt the pinkest lips and speak the words of love. The Pink Lolita will caress your lips with a blanket of moist protection so you can never suffer from dry skin and chapped lips. No matter what weather may come and go, your smile and confidence will stay put so you impress with every action and every word. Hydrating every layer of the skin on your lips, this lip balm will keep your lips soft and luscious so you receive compliments for gorgeous looking lips. Infused with SPF 16 and ideal for men and women, this lip balm will not only help in moisturization but also protection."
72,Pampers Premium Care Pants - XS(24 Pieces),Diapers & Wipes,Pampers,"Protect your newborn baby’s precious and delicate skin with these diapers from Pampers. Made from Silky Soft Materials, these diapers will give your baby the best skin protection. They come with Three Extra Absorb Channels and have a Top Dry Layer to lock away wetness and distribute it evenly. Also, these diapers are ideal for babies weighing around 3 to 5 kg. Silky Soft The super-soft material of these diapers will keep your baby’s skin dry and comfortable. Three Extra Absorb Channels These channels help in quick absorption and in evenly distributing wetness throughout the diaper. Top Dry Layer These diapers keep the top layer dry by absorbing and locking the wetness inside. Breathable Materials The diapers have around one million micropores, so your baby’s skin can breathe easily."
73,L'Oreal COLOUR PROTECT SHAMPOO(10% Extra in Pack)(360 ml),Hair Care,L'Oreal,"Colour Protect shampoo by LOreal Paris nourishes the hair and transforms its surface, keeping the hair protected and prolonging the color radiance. The Colour Protect formula with UV filter- Light Reflecting System combines an active nourishing ingredient and filters for color treated hair. Dry hair, meet your match. LOreal Paris offers hair conditioners for every concern and hair type. Whether youre looking to moisturize dry hair, want a conditioner for colored hair, or want to help repair damaged hair with a deep conditioner, we have the hair conditioner�and complementary shampoo�that best fits your needs!. Nourishes The Hair And Transforms Its Surface. Hair Feels Silky To Touch . Helps Protect The Hair Fibre From External Aggressions And Accentuates The ColorS Radiance."
74,Ching's Secret Chilli Vinegar(170 ml),Cooking Sauces & Vinegar,Ching's Secret,"Drizzle a few drops of Ching's Secret chilli vinegar sauce to make your dish mouth-watering. This sauce enhances the flavour by combining its vivid green Jwala chilli with your food. Desi Chinese Zing The Ching's Secret chilli vinegar sauce will give your favourite dish the delicious edge that it needs and tingle your taste buds. Versatile Sauce An ideal dining table companion, this sauce has a sharp vinegar heat that will complement various dishes."
75,Nestle A Plus Slim Milk,Dairy,Nestle,"The Nestle A Plus Slim Milk pack features the goodness of milk but with 95% less fat when compared to cow or buffalo milk. If you plan on starting a low-fat diet, then this UHT-treated skimmed milk, which includes Calcium and Protein, is an ideal choice to help meet your fitness goal. Low-fat Milk For those aiming to lose weight and get fit, Nestle A Plus Slim Milk is a blessing as it contains less fat and a lot of essential nutrients. Easy to Consume It undergoes 61 stringent quality checks for adulterants, aflatoxin and antibiotics, and can be consumed directly from the carton without having to boil it."
76,St. Ives Soothing Oatmeal & Shea Butter Body Wash(400 ml),Soaps & Body Wash,St. Ives,"Keep calm and soothe on! Our Soothing Oatmeal and Shea Butter Body Wash gently cleanses skin with a rich, soothing lather. This is a creamy body wash infused with oatmeal and Shea butter extract that helps to restore your natural glow with every wash. Made with 100% natural extracts (oatmeal and Shea butter) it'll cleanse your skin with a sumptuous, soothing lather."
77,Nivea Men Vitality Fresh Shower Gel(250 ml),Soaps & Body Wash,Nivea Men,"Recharge your mind and body with the 3-in-1 hydrating Nivea Men Vitality Fresh shower gel. This shower gel consists of vitalizing ocean minerals and gives you an uplifting fragrance Effective Cleansing Your skin will be deeply cleansed and you'll feel recharged, thanks to the effective cleansing formula of this shower gel. Long-lasting Freshness The long-lasting freshness of this shower gel is attributed to the fragrance of menthol and water mint in its specialized formula. Care for Your Skin The rich foam formula of the Nivea Men Vitality Fresh shower gel hydrates your skin and takes good care of it."
78,Coco Soul Original Coconut Chips(33 g),"Chips,Namkeen & Snacks",Coco Soul,"Say hello to this packet of coconut chips from Coco Soul - your new favourite healthy snack to binge on. These chips are made from high-grade coconuts and they are roasted and delicately flavoured to enthuse your taste buds. Not Fried but Roasted You can have these chips, even when you are on a diet, as they are roasted and not fried. The Goodness of Fresh High-grade Coconuts These chips have been made using 100% natural, high-grade coconuts that have been sourced from the farms of Thailand. Well-cut and Delicately Seasoned Your taste buds are in for a sumptuous ride, as these well-cut chips have been delicately seasoned to make them flavorful."
79,Neutrogena Deep Clean Blackhead Scrub(100 g),"Creams, Lotions, Skin Care",Neutrogena,"Neutrogena presents this Deep Clean Blackhead Scrub to let you enjoy the new sensory and invigorating experience of cleansing. Helps Eliminate Blackheads for Clearer, Smoother Skin The Neutrogena Deep Clean Blackhead Scrub makes sure that the appearance of blackheads is completely prevented to give clearer, smoother skin. Eliminate Blackheads by Removing Stubborn Dirt and Oil Trapped inside Pores The infusion of Beta Hydroxy acid, also known as salicylic acid, in this scrub acts as a topical exfoliant that clears out blackheads by penetrating deep inside the pores and removing stubborn dirt and oil. Exfoliate without Over Drying Ideal for use on all skin types, the Deep Clean Blackhead Scrub gently exfoliates and cleanses your skin without over drying."
80,Nivea Rose and Argan Oil in Lotion(400 ml),"Creams, Lotions, Skin Care",Nivea,Nivea brings the goodness of premium natural oils in a fast absorbing lotion with sensual fragrances.
81,"Nestle Lactogen Follow-up-Formula (Stage 3)(400 g, 12+ Months)",Baby Foods,Nestle Lactogen,"The first two years of your child’s life is imperative. With the Nestlé LACTOGEN 3 Follow-Up Formula Powder, you can ensure that your baby gets the right nutrition when he/she is not being breastfed. The Spray-dried Follow-up Formula bolsters your child’s growth such that he/she can lead a healthy life. Spray-dried Follow-up Formula This formula is ideal for infants who are 12 months or older. This formula helps your baby stay healthy during his/her childhood and adulthood. Bag-in-box Format This format not only keeps its contents safe, but also makes for better hygiene and convenience."
82,Tropicana Mango Delight Fruit Beverage(1 L),Juices,Tropicana,The Tropicana Mango Delight fruit beverage is a delicious drink made with real mangoes. This drink is a rich source of potassium and can be consumed by all age groups.
83,Fiama Patchouli and Macadamia Shower Gel(185 ml),Soaps & Body Wash,Fiama,"Wash away the troubles of your day, with the foamy, fresh, and fun Fiama Shower Gel. And while you enjoy your Fiama bath, let its skin-conditioners work their magic to give your skin a soft glow. This Patchouli and Macademia shower gel makes your day bright and shiny with its fruity, floral fragrance. It is filled with natural goodness, which gives you soft glowing skin and an indulgent experience. So get ready to let your bath, take care of you after a rough day."
84,Flipkart Supermart Select Sonora Almonds(200 g),"Dry Fruits, Nuts & Seeds",Flipkart Supermart Select,"Nuts are essential dry fruits when it comes to a healthier mind, heart and immune system. They are rich in vitamins, niacin, and proteins. Flipkart Supermart Nuts not only bring their rich, savoring taste to your delicacies, but are also instrumental in providing enriched nutrients for cognitive and physical growth. Sourced from the finest traditional farms, our professionals handpick these ‘Select’ produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures an enhanced shelf-life while preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family."
85,Nike 5th Element Deodorant Spray - For Women(200 ml),"Deos, Perfumes & Talc",Nike,"Ever wondered at the power of nature to overwhelm you as you stand at the very edge of the cliff, ready to jump into the abyss with nothing holding you to life except a thin rope and few metal pieces? That is the ability of a human to trust in a higher power and let go as sensations flood through your senses and adrenaline pounds in your ears. For the woman who is daredevil enough to step off the ledge to experience ultimate nirvana, Nike presents N5th Element Deo Spray, the fragrance of freedom. The mass premium deodorant spray spreads the notes of peace within your soul as you battle nerves in your quest to do what you have been told that you’re not good enough for. Presented in a pure white flacon that exudes feminine sensuality, the fragrance is one that will keep you fresh and rejuvenated as you push boundaries and discover what you are capable of. Surrender to your will to let go of everything, grounded only by your belief in yourself, with the fleeting coziness that Nike N5th Element Deo Spray wraps you up in."
86,Doritos Cheese Flavour Nachos(140 g),"Chips,Namkeen & Snacks",Doritos,"The tooth-rattling crunch and potent flavours of these tortilla chips from DORITOS will give your snacking time a bold twist. So, grab a bag of DORITOS tortilla chips and experience a world beyond snacking."
87,Cif Surface Cleaner Cream Lemon Kitchen Cleaner(500 ml),Floor & Other Cleaners,Cif,New Cif Cream Lemon with its citrus fresh scent is packed with millions of natural microcrystals derived from limestone. The ‘microcrystals’ in our Cif cream are microparticles made from a naturally occurring mineral and are not linked to the plastic microbeads that have the potential to contribute to microplastic marine litter. There are no microplastics in any of our Cif products.
88,"Fogg 1000 Sprays, Ultimate Deodorant Spray - For Men(150 ml)","Deos, Perfumes & Talc",Fogg,"Spilling the impeccable style of the charismatic men and women, Fogg depicts their innate subtlety. Long Lasting Start a new day with zest and carry on with your activities by spraying this deodorant that has a long-lasting effect. Prevents Heavy Perspiration and Bad Odour Sail smoothly through those hot days of summer with Fogg 1000 Sprays Ultimate Deodorant Spray as it prevents heavy perspiration and bad odour. Sophisticated Wear This sophisticated wear is an essential in your collection of accessories. Rejuvenating and Fresh Fragrance Your tired cells will get a quick workout when you use this deodorant that leaves you rejuvenated with its fresh fragrance.  Strong, Heady and Refreshing The mesmerising deodorant casts its spell on those around you with its strong, heady and refreshing aroma."
89,Schweppes Tonic(300 ml),Soft Drinks,Schweppes,"Add a dash of zest to your drinks with the Schweppes Tonic that offers a distinctive tang to excite your taste buds. Made with quinine and other delicious ingredients, this tonic can be enjoyed on the rocks and/or with mocktails and cocktails. Refreshing Drink Mixer This is a refreshing and tasty drink mixer to make your favorite drink taste even better. Distinctive Taste Made of quinine and other ingredients, this tonic has a distinctive taste. Ideal for Mocktails and Cocktails Make flavour-rich mocktails and cocktails at home with the Schweppes Tonic. A Standalone Drink Make a standalone drink on the rocks with this tonic and feel refreshed instantly. Serve Chilled Serve the drink chilled and bubbling to enjoy every sip."
90,Pampers Baby-Dry Pants Diaper - L(30 Pieces),Diapers & Wipes,Pampers,"Pampers baby-dry pants style diapers are the only pants in India with new Air Channels providing your baby a new type of dryness overnight; breathable dryness.Magic Gel that locks wetness away for up to 12 hours of dryness.The new & improved product design enables a comfortable fit, closer to the baby's body.Flexible waist band that adapts to baby's movements for a comfortable fit. Baby lotion with Aloe Vera helps protect your baby's delicate skin from diaper rash and irritation. A top layer with cotton like soft material, for a comfortable night's sleep. Fun exterior graphics; fun designs & characters to enjoy with your baby."
91,Nestle Munch Bars(202 g),Chocolates & Sweets,Nestle,"Experience the delicious taste of the yummy and crunchy chocolate bar that’s loved by all. With a rich and creamy taste of chocolate on the outside and a crispy multi-layered wafer inside, this pack of Nestle Munch bars is sure to delight your taste buds. Deliciously Crunchy Its wafer is coated in rich chocolate, making every bite crunchy and chocolatey. Chocolatey Goodness for All Filled with 20 mini Munch bars, this pack is an ideal choice for a get-together or a picnic."
92,Pampers Active Baby Diapers - S(46 Pieces),Diapers & Wipes,Pampers,"5 Star Skin Protection: The Best tape style diapers from Pampers, with an outer layer of cotton-like softness, this baby diaper provides intense care to your baby's sensitive skin and protects it effectively from friction rash and redness. These soft and comfort fitting diapers with stretchable sides are best for your baby's rest and playtime. The diaper's fastening tape sticks multiple times thus ensuring it stays in place even after you fasten it after checking your baby's diaper. Protection and nourishment of your baby's skin are taken care of with extracts of moisturising Aloe Vera lotion, characteristic of these best baby diapers.. These diapers are ultra-thin, thanks to the absorbent gel material (AGM), commonly known as Magic Gel. This magic gel core of Pampers diapers is highly effective in absorbing frequent wetness. Naturally your baby's skin remains dry for upto12 hours ,now no more frequent diaper changing or blow leaks for your little angel."
93,Nivea Fresh Pure Care Shower Gel(500 ml),Soaps & Body Wash,Nivea,Enjoy the joy of feeling fresh with this NIVEA Nivea Fresh Pure Shower Gel. This shower gel has been enriched with sea minerals which helps keep your skin feeling soft and moisturized while leaving a mild scent behind. Freshness That Lasts Enjoy the invigorating aquatic scent keeps you feeling fresh during and after the shower. Effective Cleansing and Care This shower gel is enriched with sea minerals that cleanses your skin better than soap while maintaining your skin’s pH balance.
94,Super Max S 11 - Razor with Cartridges(Twin Blade Catridge Pack with Handle Free)(Pack of 4),Shaving Needs,Super Max,
95,Biotique Bio Bhringraj Hair Oil(120 ml),Hair Care,Biotique,"This intensive formula features pure bhringraj, butea frondosa, amla and centella blended with coconut oil and the healthfulness of goat milk to help treat alopecia and other causes of hair loss. Nourishes the scalp and strengthens hair strands to encourage fresh growth and help diminish greying."
96,"Safewash Gentle Wash Fresh Liquid Detergent(Combo Pack 1  1 Free, 1 kg each)(1000 g)",Detergents & Laundry,Safewash,"Clothes that feel soft and smell great are always a pleasure to wear. Bring home this Safewash Liquid Detergent to add shine, softness and a pleasant fragrance to your clothes. It includes pH Neutral Formula to retain their softness and it untangles damaged cloth fibres to make your clothes smooth and great to wear. pH Neutral Formula The pH Neutral Formula in this liquid detergent helps in protecting the softness of your delicate woollen and other fine fabrics. Gentle Wash and Fresh Fragrance Washing clothes regularly with detergents can make your clothes lose their natural shine and make them dull and rough. However, this Safewash liquid detergent untangles the damaged cloth fibres and gives them an unbelievable shine, softness and a fresh fragrance. Prevents Shrinkage It helps in retaining the natural color of your clothes and prevents shrinkage, making them soft and comfortable to wear."
97,"Maybelline New York Color Sensational Powder Matte Lipstick(Cherry Chic, 3.9 g)",Kajal & Makeup,Maybelline,Maybelline New York introduces the new Color Sensational Powder Matte lipsticks. Now powder your pout sensational with 2X Matte intensity and silkier powder finish. Get a dramatic effect with 4X saturated powder pigments  honey nectar.. This Maybelline Matte Lipstick Has An Ultra Powdery Smooth Matte Finish And Long-Lasting Lipsticks. Intense Color Pay Off.. Does Not Smudge. Keeps Lips Hydrated.
98,Happilo Premium Organic Authentic Flax seeds Roasted(250 g),"Dry Fruits, Nuts & Seeds",Happilo,"Happilo brings to you the world of premium snacking nuts, dry fruits, Dried fruits, Berries, Seeds, mixed nuts, fusions, nut mix and more"
99,Fiama Patchouli and Macadamia Shower Gel(185 ml),Soaps & Body Wash,Fiama,"Wash away the troubles of your day, with the foamy, fresh, and fun Fiama Shower Gel. And while you enjoy your Fiama bath, let its skin-conditioners work their magic to give your skin a soft glow. This Patchouli and Macademia shower gel makes your day bright and shiny with its fruity, floral fragrance. It is filled with natural goodness, which gives you soft glowing skin and an indulgent experience. So get ready to let your bath, take care of you after a rough day."
100,Kohinoor Brown Basmati Rice (Medium Grain) (1 kg),Rice & Rice Products,Kohinoor,"Include delectable dishes without compromising on your diet with this packet of Kohinoor Authentic Brown Basmati Rice. Wholesome Packed with natural nutrients, texture and flavour, brown basmati rice is considered to be wholesome as the wholeness is still intact, unlike other polished rice. Flavoursome Besides it being a healthy option, this brown basmati rice can be used to make delicious dishes like biryani, Yakhni pulao, fried rice, etc."
